first_name,last_name,formatted_dob,above_18,member_id
Patty,Smith,19750827,Yes,Smithc76776
Sean,Wang,19600311,Yes,Wang041686
Richard,Estrada,19921015,Yes,Estrada0bf5b6
Jackson,Cline,19710121,Yes,Cline825fbf
Allen,Williams,19971109,Yes,Williams3e7260
Eric,Flores,19820107,Yes,Floresf68282
Anna,Richardson,19670223,Yes,Richardsonef158e
Benjamin,Smith,19871223,Yes,Smith9625b7
Taylor,Gomez,19821022,Yes,Gomez876bfa
Jeremy,Rodriguez,19780828,Yes,Rodriguez93ac7d
April,Garcia,19871231,Yes,Garcia26b559
Sharon,Garza,20020830,Yes,Garza401998
Lori,Sanchez,19980420,Yes,Sanchez364a71
Joseph,Reed,19511220,Yes,Reed3bc346
Jason,Armstrong,19921116,Yes,Armstronge2fb83
Jessica,Allison,19721030,Yes,Allison0c21b3
Arthur,Hall,19940311,Yes,Hall5eccdc
Sherry,Meza,19970409,Yes,Meza5bcfaa
Matthew,Turner,19940707,Yes,Turner0303a5
Jeffrey,Bauer,19660813,Yes,Bauer18f681
Sophia,Randolph,19500807,Yes,Randolph76c7ab
Marissa,Matthews,19720221,Yes,Matthews2a414f
Samuel,Thompson,19840304,Yes,Thompson8382b6
Zachary,Lee,19870704,Yes,Lee76ccec
Kara,Pittman,19680525,Yes,Pittman44c4de
Charles,Ruiz,19680113,Yes,Ruiz1546f4
Rachel,Shaw,19581223,Yes,Shaw45468f
James,Miller,19710831,Yes,Millerd11a8a
Gabriella,Anthony,19970106,Yes,Anthonyebd30f
Misty,Cantrell,19570303,Yes,Cantrellb19eba
Kelly,Guerrero,19970203,Yes,Guerrerod55cbf
David,Nichols,19620819,Yes,Nichols9226a5
Shawn,Galloway,19850419,Yes,Galloway1a4d25
Fernando,Salazar,19720419,Yes,Salazar88b5fe
Dennis,Sanford,19800806,Yes,Sanfordc7e244
Amanda,Murphy,20000730,Yes,Murphy0851c1
Bobby,Martin,20000331,Yes,Martin35f44d
Lauren,Jones,19870724,Yes,Jones3cea31
Vernon,Bishop,19730710,Yes,Bishopb05061
Phillip,Meyers,19601022,Yes,Meyers2871d7
Jeremy,Strickland,19501223,Yes,Stricklandc13f06
Robert,Martin,19500718,Yes,Martin6f48d8
Marc,Davis,19800520,Yes,Davis7d08db
William,Taylor,19860131,Yes,Taylor4fbc55
Alyssa,Pierce,19680516,Yes,Pierce133dc1
Michael,Brady,19500323,Yes,Bradybd4315
James,Rhodes,19771010,Yes,Rhodesdf2664
Ryan,Ramirez,19850425,Yes,Ramirez5ff322
Stephen,Thompson,19511112,Yes,Thompson52cd0d
Susan,Williams,19761205,Yes,Williams3b0d4b
Nancy,Aguilar,19950811,Yes,Aguilarad5a00
Jessica,Williams,19730824,Yes,Williamsb78352
Dylan,Johnson,19960107,Yes,Johnsond53b73
Pamela,King,19930929,Yes,King011485
Robert,Smith,19870424,Yes,Smith634dd6
Samantha,Gonzalez,19980829,Yes,Gonzalez31e9ac
Terry,Pierce,19640910,Yes,Pierce68d7c0
Jeffery,Walker,19560624,Yes,Walkerba5b70
Todd,Alvarez,19741125,Yes,Alvarez7bc5d7
Brett,Willis,19610908,Yes,Willisd0046a
Louis,Klein,19651220,Yes,Klein431630
Kristin,Wilkins,20020511,Yes,Wilkins48a0ad
Joshua,Lynch,19650526,Yes,Lynch495159
Deborah,Williams,19841121,Yes,Williamse69d3d
Timothy,Martin,20030501,Yes,Martin6cf84a
Sarah,Bright,19981115,Yes,Bright776f9a
Rebecca,Anderson,19730827,Yes,Anderson480714
Roger,Frost,19700217,Yes,Frost5ba4ad
Toni,Dunn,19800831,Yes,Dunn8edbeb
Eric,Dunn,19601207,Yes,Dunn84e934
Heather,Pierce,19570813,Yes,Pierce1096d3
Jordan,Erickson,19750802,Yes,Erickson6b9844
Susan,Ali,19990105,Yes,Alif361fb
Richard,Wilson,19990703,Yes,Wilsonf06267
Jon,Butler,19870318,Yes,Butlera60e8a
Paul,Phillips,19970216,Yes,Phillips01acdb
Adam,Parker,19980722,Yes,Parker5ebc0a
Cory,Walker,19621208,Yes,Walkera21bee
Jeffrey,Sanchez,19950914,Yes,Sanchezcf3c9f
Bianca,Martin,19780205,Yes,Martin7bf566
Jeffrey,King,19770623,Yes,King2f8a4c
Shelly,Mcdaniel,19951028,Yes,Mcdanielab5b4e
Melanie,Wiggins,20000214,Yes,Wigginsc46e01
Daniel,Smith,19860308,Yes,Smithe0b77c
Christopher,Smith,19810707,Yes,Smith216c57
Marc,Love,19550722,Yes,Love951978
Scott,Lawrence,19760104,Yes,Lawrencefbccd6
James,Sosa,19570811,Yes,Sosa840059
Jamie,Jackson,19770526,Yes,Jacksonb59430
Jeffrey,Hatfield,19701014,Yes,Hatfieldbf691b
James,Phillips,19611019,Yes,Phillipsc68d26
Jessica,Moore,19990905,Yes,Moore555b6e
Debra,Peters,19820804,Yes,Peters6955e6
Richard,Anderson,19700405,Yes,Anderson6c12a8
Lauren,Hahn,19720620,Yes,Hahn38908a
Joseph,Perez,19740909,Yes,Pereza30c9f
Faith,Edwards,19770726,Yes,Edwards96edd8
Laura,Vargas,19770910,Yes,Vargasb176f2
Sarah,Lewis,19810225,Yes,Lewisf236bd
Brad,Huff,19611227,Yes,Huff88806d
Thomas,Sanchez,19570914,Yes,Sancheza15360
Alexander,Richardson,19581025,Yes,Richardsone102e7
Matthew,Moore,20030707,Yes,Moore4788f3
Joseph,Howard,19520726,Yes,Howard99bdb6
Jacqueline,Phillips,19880118,Yes,Phillips3268fa
Anne,Richards,19690609,Yes,Richardse1b0f7
Derek,Thomas,19640724,Yes,Thomasa6b2aa
Joseph,Bonilla,19740508,Yes,Bonilla07c60f
Gary,Barber,19551112,Yes,Barber8e4483
Brian,Johnson,19810617,Yes,Johnson01409d
Christine,Peterson,19741119,Yes,Petersond30431
Christopher,Bautista,19940212,Yes,Bautista06ca75
Barbara,Krueger,19520322,Yes,Kruegerf41b09
Monica,Oconnor,19800107,Yes,Oconnor5d9bea
Peggy,Johnson,19720328,Yes,Johnson317e04
Susan,Herrera,19550826,Yes,Herrera2275e5
Andrew,Matthews,19880219,Yes,Matthews33105e
Erin,Kennedy,19650109,Yes,Kennedye1e076
Jason,Lopez,19740830,Yes,Lopezad64b2
Jerry,Clark,19950928,Yes,Clark850e22
Alyssa,Kim,19901108,Yes,Kim616387
Courtney,Williams,19990919,Yes,Williams225d6e
Kevin,Haynes,19690624,Yes,Haynesd74e4f
John,Hicks,19530912,Yes,Hicksc3ab0a
Eric,Kennedy,19990522,Yes,Kennedyb93e8a
Matthew,Nelson,19580127,Yes,Nelson49b517
Carolyn,Glover,19790714,Yes,Glover9a7005
Robert,Moore,19550415,Yes,Moorebd6b13
Nicole,Mcgee,19590303,Yes,Mcgee840079
Danielle,Hunter,19710811,Yes,Hunterc76d06
Kelly,Perez,19600519,Yes,Perez016c79
Mary,Odom,19630813,Yes,Odome87963
Arthur Gibson,II,19610306,Yes,II7ade82
Miss Katherine,Brennan,19771113,Yes,Brennanfbe294
Christopher,Miller,19850131,Yes,Miller5a80bf
Amber,Hopkins,19750831,Yes,Hopkins7c2f6e
Christine,Lara,19590103,Yes,Lara056220
Nancy,Garcia,19680305,Yes,Garcia76b845
Alex,Rhodes,19780913,Yes,Rhodesa5121a
Daniel,Bennett,19730228,Yes,Bennett1ed65f
Kevin,Woodard,19550809,Yes,Woodard0dee61
Todd,Wheeler,19960904,Yes,Wheeler62b5fc
Linda,Woods,19611127,Yes,Woods5e5f20
Alan,Peterson,19760129,Yes,Peterson9e7092
Jacob,Grant,19911204,Yes,Grant466943
Gabrielle,Johnson,19580610,Yes,Johnsonaa25ec
Anne,Howard,19690610,Yes,Howard45839a
Caleb,Morales,19660329,Yes,Morales0598c7
James,Dominguez,19881205,Yes,Domingueze2663e
Kathryn,Cardenas,19830508,Yes,Cardenas35ae46
Jeffrey,Santiago,19750228,Yes,Santiago5cbec5
Andrew,Mclaughlin,19730514,Yes,Mclaughlinb2423f
Bryan,Porter,19570214,Yes,Portere9e423
Brendan,Smith,19580516,Yes,Smith750a97
Amy,Wilson,19740412,Yes,Wilson095400
David,Clark,19850801,Yes,Clarkf30a35
Erika,Joseph,19810303,Yes,Josephf0dcb2
Jeffrey,Hernandez,19891231,Yes,Hernandezf32511
Michael,Miller,19640520,Yes,Miller375ad4
Theresa,Newman,19941129,Yes,Newman069d11
Paul,Romero,19601007,Yes,Romero7ffdeb
Kathleen,Ramirez,19550829,Yes,Ramirez04ceb5
Janet,Choi,19860718,Yes,Choie37de9
Mark,Bender,19690911,Yes,Benderb8ade0
Abigail,Brown,19800810,Yes,Brown7bef75
Antonio,Dominguez,19801115,Yes,Dominguez821d78
